epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,29594,1.696,2.19274,1.89049,0.85821,0.21749,0.24624,0.09846,1.94328,1.68241,1.95627,4.68658e-06,4.68658e-06,4.68658e-06
54,30139.7,1.68709,2.18728,1.87956,0.85523,0.21896,0.24673,0.09783,1.95491,1.68333,1.96432,4.53001e-06,4.53001e-06,4.53001e-06
55,30686.6,1.68849,2.19334,1.88599,0.85663,0.21837,0.24748,0.09819,1.95086,1.67596,1.96268,4.3739e-06,4.3739e-06,4.3739e-06
56,31239.3,1.68736,2.1839,1.88644,0.85753,0.21947,0.24786,0.09904,1.94456,1.67318,1.96018,4.21841e-06,4.21841e-06,4.21841e-06
57,31785.2,1.68911,2.17389,1.88367,0.86143,0.21862,0.24938,0.09965,1.94333,1.66849,1.95733,4.06369e-06,4.06369e-06,4.06369e-06
58,32332.1,1.68527,2.17394,1.87975,0.85112,0.21996,0.24966,0.10021,1.93861,1.66547,1.95482,3.90989e-06,3.90989e-06,3.90989e-06
59,32882.2,1.68493,2.1815,1.8841,0.85612,0.21781,0.24908,0.09884,1.94842,1.66916,1.96201,3.75717e-06,3.75717e-06,3.75717e-06
60,33434.1,1.68509,2.18751,1.88383,0.84406,0.22051,0.24968,0.09935,1.94702,1.66703,1.95964,3.60568e-06,3.60568e-06,3.60568e-06
61,33987.8,1.6834,2.18267,1.88258,0.85216,0.21994,0.25104,0.10086,1.93476,1.65995,1.94832,3.45557e-06,3.45557e-06,3.45557e-06
62,34539.5,1.68945,2.17479,1.88302,0.84958,0.21895,0.25101,0.09973,1.9481,1.65977,1.9593,3.30698e-06,3.30698e-06,3.30698e-06
63,35089.1,1.68771,2.17181,1.88075,0.85519,0.22008,0.25197,0.10148,1.93274,1.65544,1.94608,3.16006e-06,3.16006e-06,3.16006e-06
64,35644,1.67891,2.16984,1.8791,0.84783,0.22063,0.25336,0.10288,1.92255,1.64968,1.93895,3.01496e-06,3.01496e-06,3.01496e-06
65,36206,1.68423,2.17036,1.87786,0.84641,0.22109,0.2532,0.10261,1.92733,1.64897,1.94372,2.87182e-06,2.87182e-06,2.87182e-06
66,36760.8,1.68685,2.1706,1.87641,0.84956,0.22227,0.2537,0.10287,1.92548,1.64903,1.93896,2.73077e-06,2.73077e-06,2.73077e-06
67,37306.7,1.68089,2.14507,1.87237,0.84641,0.223,0.25401,0.10314,1.92546,1.64562,1.93942,2.59197e-06,2.59197e-06,2.59197e-06
